session_id,label,task_token_id,previous,token,following,user_id,country,days,client,session,format,time,n_tokens
zNVn7ycO05,0,1,placeholder,La,fourmi,BfZAzBCr,GB,3.866,ios,practice,reverse_tap,19,5
SuoET13J05,0,4,du,fromage,et,+wdtATqR,CA,11.984,web,practice,reverse_translate,14,7
jhJ14vJJ05,0,2,Je,mange,des,fr6UvdHU,CA,1.062,web,practice,reverse_translate,17,4
4pIdiYj/01,0,1,placeholder,La,fourmi,6Iox8M7G,CA,2.078,ios,practice,reverse_tap,27,5
LyaGxHTr01,0,1,placeholder,La,soupe,masrHSWZ,CA,6.003,android,practice,listen,7,2
nYD7t7iv01,0,2,Les,livres,placeholder,n8kObVt2,GB,6.456,ios,practice,reverse_tap,2,2
tVVLJ/x503,1,1,placeholder,Leur,chapeau,NK6KAp7o,CA,5.172,ios,practice,reverse_translate,23,4
r6+pTh8Q04,0,1,placeholder,Le,bœuf,4qF5AHWe,AU,1.057,android,practice,reverse_translate,52,4
JQxv9guA01,0,1,placeholder,J',placeholder,n8kObVt2,GB,4.291,ios,practice,listen,11,4
5FvzheYd03,0,2,Ça,va,mal,r4vYj/1U,CA,13.087,web,practice,listen,9,3
55/GIonO07,0,1,placeholder,Le,garçon,aj0jU5rP,GB,7.739,ios,practice,reverse_translate,16,5
uld8OK3x02,1,3,es,grand,placeholder,SmJ3JQha,CA,3.757,ios,practice,reverse_translate,24,3
JQm6Xmvw02,1,1,placeholder,Votre,chapeau,FpCvUOun,GB,8.184,ios,practice,reverse_translate,13,2
+rGvdUmO01,0,2,Les,enfants,placeholder,EPxsAfD+,CA,12.829,ios,practice,reverse_tap,1,2
FA39WQnN05,0,2,Bonjour,Bienvenue,placeholder,fr6UvdHU,CA,0.233,web,practice,reverse_translate,12,2
W5H/C4C007,0,1,placeholder,Il,a,/pH2wa8f,GB,2.607,ios,practice,reverse_translate,24,7
gleVTH9s01,0,1,placeholder,Des,chaussettes,SVXpN0M+,CA,6.01,web,practice,reverse_translate,6,2
BGxQTX/P02,0,6,des,lettres,placeholder,S4tzVrac,CA,16.021,web,practice,listen,37,6
rcgJKA+n04,0,3,as,dix,sept,yWyIHnfa,AU,8.37,ios,practice,reverse_tap,7,6
EeKuYEq302,0,3,aimez,un,garçon,fr6UvdHU,CA,2.835,web,practice,listen,14,4
sRgMHvZA06,0,4,un,journal,placeholder,RLW17b5E,AU,5.344,ios,practice,reverse_tap,12,4
kLyJjn6t06,0,1,placeholder,Un,homme,MchfXRuY,AU,2.351,ios,practice,reverse_translate,6,2
XYgUk68D03,0,2,Ils,sont,riches,FTje5Bhb,GB,1.56,ios,practice,reverse_translate,28,5
vgjFahTd05,0,3,filles,sont,petites,fr6UvdHU,CA,3.12,web,practice,reverse_translate,12,4
u1gPLCUa02,0,2,L,eau,placeholder,CmTJozfq,CA,8.405,ios,practice,listen,5,2
0Si2WgAn04,0,3,suis,grande,placeholder,rUv0IIYN,AU,10.021,ios,practice,reverse_tap,4,3
5FjWFPRe04,0,4,est,rouge,placeholder,r4vYj/1U,CA,2.039,web,practice,reverse_translate,8,4
DXPgKd6y08,1,4,est,joli,placeholder,6Iox8M7G,CA,11.003,web,practice,reverse_translate,9,4
BqiwnQOW01,0,1,placeholder,Nous,mangeons,CmTJozfq,CA,15.5,ios,practice,reverse_tap,2,2
GnYe8VrD03,0,2,La,carotte,placeholder,j3zDiMlg,CA,7.018,android,practice,reverse_tap,2,2
YEVAW7Ut05,1,1,placeholder,Une,petite,fr6UvdHU,CA,3.146,web,practice,reverse_translate,5,3
JUONv2zt04,0,2,La,pomme,est,oEx5jABP,AU,0.672,ios,practice,reverse_tap,7,4
q2oEuMLu02,0,1,placeholder,Le,chapeau,RLW17b5E,AU,10.881,ios,practice,reverse_tap,8,6
eOwrITsd04,0,1,placeholder,Ils,sont,nT3TyToQ,GB,5.826,ios,practice,reverse_translate,9,3
tp7jl4kB04,1,1,placeholder,Elle,boit,aGjN3Ho/,GB,11.333,android,practice,listen,15,5
vUtLw58102,0,3,loup,mange,placeholder,ywSvsXO1,GB,9.819,ios,practice,reverse_translate,15,3
Zwvjt0s705,1,5,un,cochon,placeholder,KPHN1r/s,AU,9.421,ios,practice,listen,22,5
G9os88sF03,0,3,avez,un,livre,NK6KAp7o,CA,5.913,ios,practice,reverse_translate,26,4
sG3oTmrV06,0,5,une,pomme,placeholder,RhXpMN+I,CA,3.823,ios,practice,reverse_tap,11,5
3yh68Muk03,0,11,les,dents,placeholder,md4/6AZB,CA,20.724,ios,practice,reverse_translate,50,11
lSyqlvFm05,0,2,J,aime,une,EcWtVgq7,GB,7.62,ios,practice,reverse_tap,6,4
w0K93j8l02,0,1,placeholder,Les,petits,RLW17b5E,AU,9.042,ios,practice,reverse_tap,11,4
NiSOCKAB08,0,4,des,filles,placeholder,JYFs1NZA,CA,7.154,ios,practice,reverse_translate,30,4
iriPCC2T02,0,2,On,va,chez,n+PgzdX5,GB,6.71,android,practice,listen,31,7
qu4sqI8902,1,2,Merci,et,à,1QNKoPhc,CA,1.548,web,practice,reverse_translate,18,4
5Hu+rgkM10,0,5,à,demain,placeholder,fr6UvdHU,CA,2.994,web,practice,listen,14,5
QfZ5IKcO01,0,1,placeholder,Elle,est,oEx5jABP,AU,1.988,ios,practice,reverse_tap,3,3
mKmqdpGj03,0,2,Le,costume,placeholder,masrHSWZ,CA,11.733,android,practice,listen,6,2
GnOa4laj03,1,1,placeholder,Le,pantalon,6Iox8M7G,CA,5.876,web,practice,reverse_translate,26,4
C2epQCw503,0,3,loup,mange,placeholder,soCS33Jg,AU,4.15,ios,practice,reverse_translate,17,3
Hex3goef03,0,2,La,soupe,placeholder,tBSp504J,GB,12.919,android,practice,listen,7,2
mV9Zf0Kg03,1,3,aime,ça,placeholder,fr6UvdHU,CA,2.243,web,practice,reverse_translate,7,3
IN1QSlvt01,0,4,un,garçon,placeholder,hQWympTg,GB,4.986,ios,practice,listen,18,4
EgPsaoz204,0,4,a,un,éléphant,tjF+kUh+,AU,12.257,ios,practice,reverse_tap,9,5
xR60E9yW03,1,3,aime,un,garçon,BxTBJZZp,AU,3.269,ios,practice,listen,11,4
V9YtR0ag06,1,4,les,grandes,crêpes,RLW17b5E,AU,9.012,ios,practice,reverse_tap,11,5
uHUnZmCE02,0,1,placeholder,Merci,pour,vB+nZZXf,GB,9.688,ios,practice,reverse_translate,9,4
XNofJaMQ01,0,4,du,porc,et,fr6UvdHU,CA,4.302,web,practice,listen,5,7
UJbs4Qi203,0,2,Une,fille,placeholder,JYFs1NZA,CA,6.851,ios,practice,reverse_tap,2,2
YCw5JNX802,0,2,Je,mange,du,T79+ghlW,CA,1.101,web,practice,reverse_translate,21,7
H5XqF0cF03,1,1,placeholder,Une,petite,aj0jU5rP,GB,10.845,ios,practice,reverse_translate,21,3
/nHJ2Ro903,1,2,D,accord,placeholder,eTUevpJv,GB,1.889,web,practice,reverse_translate,17,2
MoiX1quj08,1,4,très,bon,placeholder,2Pq/5VBt,GB,19.387,ios,practice,reverse_tap,4,4
TYTrd7DU01,0,2,J,aime,boire,DDhm1I5Q,GB,4.157,ios,practice,reverse_tap,6,3
93YbO62z02,0,4,la,baguette,placeholder,fr6UvdHU,CA,2.01,web,practice,reverse_translate,11,4
fSb6ePtz03,0,3,propose,un,costume,lgXcEcLg,GB,13.848,android,practice,listen,16,4
TvaTEMdy05,0,1,placeholder,Bonjour,ça,j3zDiMlg,CA,7.007,android,practice,listen,51,4
hlVp8Dkb08,1,4,d,accord,placeholder,GzCqsB8P,CA,7.521,web,practice,reverse_translate,16,4
0hIjlxFr07,0,4,des,pommes,placeholder,fr6UvdHU,CA,2.162,web,practice,reverse_translate,12,4
RSY5Th2501,0,5,le,pain,placeholder,t2QjJgVj,GB,6.397,ios,practice,reverse_translate,20,5
rERbDkna05,0,4,une,orange,placeholder,JkJ31O/N,AU,2.699,ios,practice,reverse_tap,12,4
CMESpPj201,0,3,suis,petit,car,sIO+z+Kz,CA,13.919,web,practice,reverse_translate,19,8
Tkmvpn2701,0,2,Des,chaussettes,placeholder,SmJ3JQha,CA,8.173,ios,practice,reverse_translate,26,2
lk8ha3WS07,1,3,pose,le,pain,JYFs1NZA,CA,14.079,ios,practice,listen,2,4
JQm6Xmvw01,1,2,Sa,robe,placeholder,FpCvUOun,GB,8.184,ios,practice,listen,12,2
qsgqGy9P03,0,3,chapeau,est,chaud,n8kObVt2,GB,16.315,ios,practice,reverse_tap,5,4
wj652ch201,1,2,D,accord,placeholder,Tjw66jqv,GB,4.549,android,practice,reverse_translate,3,2
w06zviQ902,0,3,suis,petite,placeholder,BgWXGb29,AU,8.346,ios,practice,reverse_tap,7,3
VD6DZlIy06,0,3,mangent,des,sandwichs,+wdtATqR,CA,9.993,ios,practice,reverse_translate,14,4
zJF9y8SP02,1,4,le,professeur,placeholder,c3hoXbEY,GB,10.29,ios,practice,reverse_translate,15,4
vsrIKAQh04,0,3,suis,petit,placeholder,DDhm1I5Q,GB,5.032,ios,practice,reverse_tap,6,3
ujRzrhZm02,0,1,placeholder,Notre,chapeau,nT3TyToQ,GB,14.05,ios,practice,reverse_tap,25,2
JLRLjVsL05,1,2,À,demain,placeholder,ufYlYaO/,CA,7.001,web,practice,listen,9,2
SPRmn4U005,0,1,placeholder,S',placeholder,RLW17b5E,AU,1.665,ios,practice,listen,19,4
ivSUwv6z07,0,1,placeholder,Nous,sommes,RLW17b5E,AU,9.057,ios,practice,reverse_tap,9,3
TQdWGxD407,0,5,une,robe,placeholder,aj0jU5rP,GB,17.212,ios,practice,listen,12,5
9/7uEbB902,0,2,Un,enfant,placeholder,JvJTbkb0,CA,7.971,ios,practice,reverse_tap,8,2
htmn7aBq06,0,1,placeholder,Elles,sont,r4vYj/1U,CA,0.055,web,practice,listen,11,3
s21/6Z8103,0,4,un,homme,placeholder,EPxsAfD+,CA,19.291,ios,practice,reverse_tap,11,4
aiDFwH4801,1,2,Une,fille,placeholder,Pq+caqrc,GB,7.107,web,practice,reverse_translate,194,2
kXqk0scI04,0,4,votre,montre,placeholder,r4vYj/1U,CA,13.957,web,practice,listen,5,4
SlsXl1QD05,0,3,es,beau,placeholder,Tjw66jqv,GB,9.123,android,practice,reverse_translate,6,3
+eyFLQch02,0,4,plus,tard,placeholder,T47exPfc,GB,5.698,ios,practice,reverse_tap,8,4
EJWabEQm05,1,1,placeholder,Tu,manges,HOGXKM4L,CA,10.213,web,practice,reverse_translate,10,4
UOugHFca06,0,2,Un,citron,placeholder,6Iox8M7G,CA,2.064,ios,practice,reverse_tap,25,2
ABv+ONHI09,0,3,couleurs,sont,sombres,CmTJozfq,CA,13.223,ios,practice,listen,25,4
PEaUXny/03,0,4,un,homme,placeholder,FpCvUOun,GB,4.438,ios,practice,reverse_translate,6,4
RgA5/gAH03,0,3,merci,beaucoup,placeholder,RLW17b5E,AU,9.067,ios,practice,reverse_tap,5,3
nQ+4WQea06,1,1,placeholder,Le,livre,6HhXgHvD,GB,3.087,ios,practice,reverse_translate,40,7
5FapVcD701,0,1,placeholder,Un,enfant,fr6UvdHU,CA,1.193,web,practice,reverse_translate,5,2
EZ/wn6v/03,0,3,a,un,cochon,nT3TyToQ,GB,8.742,ios,practice,reverse_tap,3,4
PytI/mH/01,0,1,placeholder,Oui,placeholder,v5MxqZ0b,GB,3.925,android,practice,reverse_tap,2,1
c+Re7bbX01,1,6,vais,bien,placeholder,c3hoXbEY,GB,10.017,ios,practice,reverse_translate,4,6
6mS3LrAZ04,0,2,Je,suis,petit,e2+N+vow,CA,15.649,ios,practice,reverse_translate,5,3
ONJQSj2t07,0,5,jolie,fille,placeholder,Tjw66jqv,GB,4.026,android,practice,listen,18,5
FyDN5ynG06,0,1,placeholder,Nous,mangeons,qtai1ZL7,AU,5.66,android,practice,reverse_translate,25,4
O9O9dthC01,0,1,placeholder,Le,costume,Cv7+fFiF,CA,10.517,ios,practice,reverse_translate,7,2
lIzB6my604,0,1,placeholder,Nous,avons,fr6UvdHU,CA,1.093,web,practice,reverse_translate,16,6
qBoLtsvo06,1,6,lettre,sont,rouges,CIoaxd3X,CA,0.816,android,practice,reverse_translate,18,7
D8S7ZIBL07,0,4,du,fromage,et,+5fX8ua2,CA,3.008,android,practice,listen,49,9
qTegpOBk01,0,1,placeholder,Salut,placeholder,FTje5Bhb,GB,5.828,ios,practice,reverse_tap,2,1
w0K93j8l07,0,3,canards,boivent,placeholder,RLW17b5E,AU,9.042,ios,practice,listen,26,3
hz/Scjg001,0,1,placeholder,L',placeholder,yWyIHnfa,AU,8.358,ios,practice,reverse_tap,1,2
T4qjGQRa05,1,3,manges,une,crêpe,RLW17b5E,AU,2.937,ios,practice,listen,30,4
o+06EIFO05,1,2,D,accord,placeholder,CmTJozfq,CA,2.492,ios,practice,reverse_tap,1,2
fVLnohfM06,0,3,mange,du,gâteau,EPxsAfD+,CA,13.114,ios,practice,reverse_tap,10,4
0UUjDZRx02,0,1,placeholder,Bonjour,placeholder,GEdyZS+r,GB,3.164,android,practice,reverse_tap,1,1
RE06K7J306,0,2,L,homme,est,fr6UvdHU,CA,1.085,web,practice,reverse_translate,9,4
bRrV0/xV03,0,2,J,aime,la,NFW2JtY+,GB,2.574,ios,practice,listen,6,4
jgcEchgI03,0,1,placeholder,Le,garçon,qofjqk+L,CA,9.98,ios,practice,listen,43,5
6STHNqyz03,0,2,Elle,mange,un,SVXpN0M+,CA,1.772,web,practice,listen,8,4
K2Fzj46i02,1,3,aime,une,fille,U6kqKzJ1,GB,5.754,web,practice,reverse_translate,8,4
LiG/qAd+08,0,2,La,robe,est,1lVkmvUf,AU,5.869,ios,practice,reverse_translate,6,4
wwmz0YGe03,1,2,Vous,mangez,placeholder,aj0jU5rP,GB,8.758,ios,practice,listen,12,2
pVDE/8Zb05,0,3,à,demain,placeholder,/TLPIa66,CA,17.048,web,practice,listen,6,3
kdeA5WnL04,1,2,Vous,êtes,jeune,fxc6ud70,AU,14.037,ios,practice,reverse_translate,5,3
fns5O3Cd04,1,3,filles,écrivent,un,JYFs1NZA,CA,14.202,ios,practice,listen,11,5
+u6Dmr5I05,0,3,suis,un,garçon,T47exPfc,GB,3.041,ios,practice,reverse_tap,910,4
Wo2i5czB02,0,2,Elles,mangent,placeholder,p60B04tM,GB,10.311,ios,practice,reverse_tap,1,2
J3VZ7Mvd07,0,3,c,est,une,2Pq/5VBt,GB,17.303,web,practice,listen,15,5
Ubn0xmE302,0,1,placeholder,Il,est,vYxH8L22,GB,6.72,ios,practice,reverse_tap,8,3
v72eocgL05,0,3,mangeons,dix,neuf,md4/6AZB,CA,7.89,ios,practice,reverse_translate,18,6
h2fuCmdQ05,0,2,Un,garçon,et,xq3GS7ZQ,CA,10.331,ios,practice,reverse_tap,13,5
ySnNe7kd02,1,5,jolie,fille,placeholder,+wdtATqR,CA,15.326,ios,practice,reverse_translate,29,5
xrEc+/TZ06,0,3,robe,est,rouge,aj0jU5rP,GB,17.214,ios,practice,listen,7,4
bieyAO+106,0,1,placeholder,Il,mange,VSJs0MBg,CA,1.735,ios,practice,listen,4,2
efQO8xzR05,0,5,Elle,mange,et,BgWXGb29,AU,9.191,ios,practice,reverse_tap,10,5
Gr9JcqAL05,1,5,pain,avec,du,KtxUcnNC,GB,8.021,web,practice,reverse_translate,21,7
de+YNAVx02,0,3,lettres,lesquelles,placeholder,Imww7CSG,GB,14.014,ios,practice,reverse_tap,6,3
5NDH7nWt06,0,1,placeholder,Le,loup,NGcpmWF6,CA,5.937,ios,practice,listen,17,5
ntg60sjb02,0,3,manteau,est,chaud,GEdyZS+r,GB,12.199,android,practice,reverse_translate,21,4
xfjt4XqL05,0,1,placeholder,Il,a,SVXpN0M+,CA,6.025,web,practice,reverse_translate,14,7
yEHzAZRF02,1,4,hommes,écrivent,des,ufYlYaO/,CA,15.7,web,practice,listen,42,6
7RNxP1Z801,0,1,placeholder,Je,vais,EPxsAfD+,CA,14.96,ios,practice,listen,19,6
76HDilHS04,0,2,Les,bottes,placeholder,Imww7CSG,GB,21.005,ios,practice,reverse_translate,4,2
uTq+xTct02,0,1,placeholder,Un,repas,VuewGKB5,CA,4.968,android,practice,reverse_tap,3,2
9yjtQz2u03,1,1,placeholder,Peut,être,qtai1ZL7,AU,21.137,android,practice,listen,8,3
kT0JKWkn06,0,4,vous,plaît,non,r4vYj/1U,CA,1.776,web,practice,listen,9,5
SwuJ7cQt02,0,3,pas,mal,placeholder,FKSjaL87,AU,14.968,android,practice,listen,7,3
XQljDBfE02,0,3,bonbon,est,rouge,e2+N+vow,CA,17.906,ios,practice,reverse_translate,4,4
zqXuVX8n01,1,2,Un,oignon,placeholder,r4vYj/1U,CA,9.94,web,practice,listen,9,2
9vsjgjqo04,0,3,c,est,ça,uHoHcPcD,AU,8.119,web,practice,listen,50,4
+tl5fFHm05,1,3,sont,rouges,placeholder,EcWtVgq7,GB,2.357,ios,practice,reverse_translate,24,3
T/pXTOUd05,1,4,la,fille,placeholder,HI7m890h,GB,1.072,ios,practice,reverse_translate,23,4
eFqx+x4d02,0,1,placeholder,Comme,ceci,EcWtVgq7,GB,18.528,ios,practice,reverse_tap,2,2
1qtXUboO05,0,2,Merci,et,à,FEgf4Gv8,GB,16.12,android,practice,reverse_translate,15,4
N2Tgyh1y02,0,2,Il,y,a,JfbIMdK1,CA,7.26,android,practice,reverse_tap,12,5
PO+len0T02,0,4,le,chapeau,placeholder,o/A3qxsY,GB,19.258,web,practice,reverse_translate,10,4
BApUbA+F03,0,1,placeholder,Le,vin,o2FvUsnW,CA,4.897,ios,practice,reverse_tap,3,4
vy/Yfr0506,1,6,avec,du,sel,+5fX8ua2,CA,1.082,android,practice,listen,25,7
Ut2KKees04,0,3,cheval,est,propre,LjmXOFkL,GB,4.536,ios,practice,reverse_translate,10,4
f5DOcmhm02,0,1,placeholder,J',placeholder,u3QaXTK0,CA,2.432,ios,practice,reverse_translate,19,4
96x8qZWn10,0,4,un,papillon,placeholder,QomjGk4Y,AU,13.871,web,practice,reverse_translate,5,4
DXPgKd6y08,0,3,chien,est,joli,6Iox8M7G,CA,11.003,web,practice,reverse_translate,9,4
b0vaY63j07,1,7,mon,frère,placeholder,r4vYj/1U,CA,12.966,web,practice,reverse_translate,18,7
h2CgL6A902,0,2,C,est,joli,u3QaXTK0,CA,3.291,ios,practice,reverse_tap,27,3
